epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7574,0.99103,2.56159,1.19795,0.5565,0.57416,0.56016,0.42491,1.06786,1.7387,1.19821,0.074104,0.000104,0.000104
2,111.627,0.81849,0.95874,1.05132,0.82787,0.64654,0.75502,0.55643,0.93549,1.39082,1.12927,0.0472107,0.000210708,0.000210708
3,164.817,0.76085,0.7728,1.01076,0.90285,0.74837,0.85617,0.72472,0.62206,0.77376,0.92054,0.0203122,0.000312247,0.000312247
4,217.923,0.68591,0.71105,0.97568,0.90909,0.86362,0.91368,0.78633,0.58124,0.68763,0.88165,0.000378419,0.000378419,0.000378419
5,270.292,0.69434,0.68974,0.99774,0.90859,0.83351,0.89083,0.75442,0.59598,0.66881,0.91006,0.000362185,0.000362185,0.000362185
6,323.488,0.65385,0.61248,0.97017,0.91555,0.8682,0.91386,0.76015,0.6505,0.60192,0.93585,0.000342007,0.000342007,0.000342007
7,374.981,0.65563,0.58544,0.96549,0.95856,0.888,0.91931,0.81023,0.541,0.52133,0.8847,0.000318381,0.000318381,0.000318381
8,427.543,0.59454,0.5157,0.94824,0.97666,0.89502,0.92892,0.81755,0.53188,0.4746,0.87208,0.00029189,0.00029189,0.00029189
9,480.126,0.60595,0.54135,0.94937,0.97165,0.90696,0.94571,0.83892,0.50864,0.43686,0.87706,0.000263185,0.000263185,0.000263185
10,532.062,0.57405,0.49764,0.94069,0.97409,0.89867,0.94555,0.84103,0.48307,0.43616,0.8701,0.000232974,0.000232974,0.000232974
11,664.329,0.48173,0.43978,0.86647,0.97471,0.88498,0.93247,0.83824,0.49127,0.45397,0.87109,0.000202,0.000202,0.000202
12,714.758,0.45436,0.39816,0.84519,0.96963,0.89273,0.93516,0.84956,0.45975,0.4166,0.86025,0.000171026,0.000171026,0.000171026
13,770.95,0.43357,0.37518,0.83705,0.99005,0.87191,0.93042,0.84762,0.45062,0.43598,0.84652,0.000140815,0.000140815,0.000140815
14,816.719,0.4032,0.3341,0.83194,0.98892,0.89366,0.94238,0.8645,0.44318,0.38643,0.85178,0.00011211,0.00011211,0.00011211
15,866.145,0.40169,0.33841,0.82335,0.98997,0.89457,0.94709,0.87316,0.42392,0.37556,0.85044,8.56185e-05,8.56185e-05,8.56185e-05
16,917.422,0.38016,0.32389,0.8196,0.98794,0.89896,0.9488,0.8758,0.41088,0.37341,0.83529,6.19929e-05,6.19929e-05,6.19929e-05
17,969.057,0.36148,0.29906,0.81364,0.97953,0.8948,0.94515,0.87785,0.3958,0.38352,0.82833,4.18146e-05,4.18146e-05,4.18146e-05
18,1018.92,0.3435,0.2802,0.80873,0.99362,0.8948,0.94449,0.88036,0.38505,0.3761,0.82714,2.55807e-05,2.55807e-05,2.55807e-05
19,1068.87,0.3444,0.27692,0.80956,0.99474,0.8948,0.94611,0.88425,0.38087,0.3678,0.82725,1.36908e-05,1.36908e-05,1.36908e-05
20,1119.13,0.34155,0.28786,0.81398,0.99609,0.8948,0.94631,0.88461,0.37759,0.36113,0.82649,6.43771e-06,6.43771e-06,6.43771e-06
